start_id,end_id,relation_type,source
8,72,来自,extraction
1,10,包括,extraction
10,31,涉及,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,66,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,45,是,extraction
7,45,是,extraction
8,55,是,extraction
1,10,包括,extraction
10,44,涉及,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,20,是,extraction
10,46,服务事项,extraction
12,10,权力类型,extraction
42,10,行驶主体,extraction
42,10,承办机构,extraction
10,35,实施依据,extraction
10,64,服务事项,extraction
12,10,权力类型,extraction
53,10,行驶主体,extraction
53,10,承办机构,extraction
128,10,实施依据,extraction
10,46,包含内容,extraction
3,12,是,extraction
5,19,是,extraction
7,19,是,extraction
8,43,来自,extraction
10,98,服务事项,extraction
12,10,权力类型,extraction
32,10,行驶主体,extraction
32,10,承办机构,extraction
66,10,实施依据,extraction
1,10,包括,extraction
10,48,包含,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,62,是,extraction
10,11,包含,extraction
3,12,是,extraction
5,53,是,extraction
7,53,是,extraction
8,43,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,13,是,extraction
7,13,是,extraction
8,43,是,extraction
10,11,包含,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,62,是,extraction
10,15,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
17,10,实施依据,extraction
1,39,包括,extraction
3,4,是,extraction
5,59,是,extraction
7,59,是,extraction
8,72,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,53,是,extraction
7,53,是,extraction
8,33,是,extraction
1,10,是,extraction
10,54,涉及,extraction
3,12,是,extraction
5,50,是,extraction
7,50,是,extraction
8,55,是,extraction
1,10,包括,extraction
10,61,涉及,extraction
3,12,是,extraction
5,42,是,extraction
7,42,是,extraction
8,62,是,extraction
10,70,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
10,66,实施依据,extraction
1,26,包括,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,49,是,extraction
1,39,包括,extraction
3,4,是,extraction
5,112,是,extraction
7,112,是,extraction
8,72,是,extraction
1,10,包括,extraction
10,70,涉及,extraction
3,12,是,extraction
5,13,是,extraction
7,13,是,extraction
8,55,是,extraction
1,10,包括,extraction
10,70,涉及,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,43,是,extraction
10,99,服务事项,extraction
12,10,权力类型,extraction
19,10,行驶主体,extraction
19,10,承办机构,extraction
10,14,实施依据,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
63,10,行驶主体,extraction
63,10,承办机构,extraction
14,10,实施依据,extraction
1,10,是,extraction
10,92,涉及,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,20,是,extraction
1,10,包括,extraction
10,31,涉及,extraction
3,12,是,extraction
5,22,是,extraction
7,22,是,extraction
10,113,服务事项,extraction
12,10,权力类型,extraction
16,10,行驶主体,extraction
16,10,承办机构,extraction
14,10,实施依据,extraction
1,10,包括,extraction
10,24,包含,extraction
3,12,是,extraction
5,42,是,extraction
7,42,是,extraction
8,20,是,extraction
10,48,服务事项,extraction
12,10,权力类型,extraction
65,10,行驶主体,extraction
65,10,承办机构,extraction
10,62,实施依据,extraction
10,44,服务事项,extraction
12,10,权力类型,extraction
65,10,行驶主体,extraction
65,10,承办机构,extraction
20,10,实施依据,extraction
10,15,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
80,10,实施依据,extraction
1,39,包括,extraction
3,4,是,extraction
5,6,是,extraction
7,6,是,extraction
8,72,是,extraction
10,70,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
114,10,实施依据,extraction
10,99,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
10,35,实施依据,extraction
1,57,包括,extraction
10,129,涉及问题,extraction
3,4,是,extraction
5,40,是,extraction
7,40,是,extraction
8,60,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,19,是,extraction
7,19,是,extraction
8,49,是,extraction
10,54,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
23,10,实施依据,extraction
10,52,包含,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,49,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,67,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,62,是,extraction
1,94,包括,extraction
3,4,是,extraction
5,124,是,extraction
7,124,是,extraction
8,9,是,extraction
10,46,服务事项,extraction
12,10,权力类型,extraction
22,10,行驶主体,extraction
22,10,承办机构,extraction
10,35,实施依据,extraction
1,39,包括,extraction
3,4,是,extraction
5,97,是,extraction
7,97,是,extraction
8,85,是,extraction
1,10,包括,extraction
10,70,涉及,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,43,是,extraction
10,56,服务事项,extraction
12,10,权力类型,extraction
19,10,行驶主体,extraction
19,10,承办机构,extraction
10,43,实施依据,extraction
1,10,包括,extraction
10,31,涉及,extraction
3,12,是,extraction
5,53,是,extraction
7,53,是,extraction
8,33,是,extraction
10,21,服务事项,extraction
12,10,权力类型,extraction
63,10,行驶主体,extraction
63,10,承办机构,extraction
67,10,实施依据,extraction
1,10,是,extraction
10,110,涉及问题,extraction
3,12,是,extraction
5,50,是,extraction
7,50,是,extraction
8,23,是,extraction
1,2,包括,extraction
3,4,是,extraction
5,112,是,extraction
7,112,是,extraction
8,41,是,extraction
10,96,服务事项,extraction
12,10,权力类型,extraction
19,12,行驶主体,extraction
19,12,承办机构,extraction
114,12,实施依据,extraction
10,110,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
33,10,实施依据,extraction
10,113,服务事项,extraction
12,10,权力类型,extraction
78,10,行驶主体,extraction
78,10,承办机构,extraction
10,67,实施依据,extraction
1,10,包括,extraction
10,48,包含,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,66,是,extraction
10,68,服务事项,extraction
12,10,权力类型,extraction
65,10,行驶主体,extraction
65,10,承办机构,extraction
66,10,实施依据,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
19,10,行驶主体,extraction
19,10,承办机构,extraction
10,17,实施依据,extraction
1,10,包括,extraction
10,36,涉及,extraction
3,12,是,extraction
5,50,是,extraction
7,50,是,extraction
8,62,是,extraction
10,99,服务事项,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,17,是,extraction
10,46,包含,extraction
3,12,是,extraction
5,42,是,extraction
7,42,是,extraction
8,67,是,extraction
1,10,是,extraction
10,100,包括,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,23,是,extraction
1,10,包括,extraction
10,99,涉及问题,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,23,是,extraction
10,54,涉及,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,14,是,extraction
10,21,涉及事项,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,66,是,extraction
1,26,包括,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,17,是,extraction
10,69,服务事项,extraction
12,10,权力类型,extraction
34,10,行驶主体,extraction
34,10,承办机构,extraction
10,49,实施依据,extraction
1,39,包括,extraction
3,4,是,extraction
5,112,是,extraction
7,112,是,extraction
8,72,是,extraction
10,77,服务事项,extraction
12,10,权力类型,extraction
78,10,行驶主体,extraction
78,10,承办机构,extraction
108,10,实施依据,extraction
1,10,包括,extraction
10,64,涉及,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,49,是,extraction
1,2,包括,extraction
3,4,是,extraction
5,124,是,extraction
7,124,是,extraction
8,83,是,extraction
10,26,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
14,10,实施依据,extraction
1,10,包括,extraction
10,99,涉及问题,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,49,是,extraction
1,57,包括,extraction
10,129,涉及问题,extraction
3,4,是,extraction
5,124,是,extraction
7,124,是,extraction
8,41,是,extraction
10,61,服务事项,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,66,是,extraction
1,10,包括,extraction
10,54,涉及,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,14,是,extraction
10,37,服务事项,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,67,是,extraction
10,113,服务事项,extraction
12,10,权力类型,extraction
16,10,行驶主体,extraction
16,10,承办机构,extraction
17,10,实施依据,extraction
10,99,服务事项,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,55,是,extraction
10,110,服务事项,extraction
12,10,权力类型,extraction
42,10,行驶主体,extraction
42,10,承办机构,extraction
66,10,实施依据,extraction
10,98,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
10,17,实施依据,extraction
1,10,包括,extraction
10,70,涉及,extraction
3,12,是,extraction
5,22,是,extraction
7,22,是,extraction
8,66,是,extraction
1,26,包括,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,14,是,extraction
10,77,服务事项,extraction
12,10,权力类型,extraction
63,10,行驶主体,extraction
63,10,承办机构,extraction
10,35,实施依据,extraction
1,71,包括,extraction
3,4,是,extraction
5,130,是,extraction
7,130,是,extraction
8,9,是,extraction
10,92,服务事项,extraction
12,10,权力类型,extraction
42,10,行驶主体,extraction
42,10,承办机构,extraction
42,23,实施依据,extraction
1,57,包括,extraction
10,131,涉及问题,extraction
3,4,是,extraction
5,97,是,extraction
7,97,是,extraction
8,41,是,extraction
1,10,是,extraction
10,110,涉及,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,49,是,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
10,23,实施依据,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
19,10,行驶主体,extraction
19,10,承办机构,extraction
10,114,实施依据,extraction
10,21,服务事项,extraction
12,10,权力类型,extraction
25,10,行驶主体,extraction
25,10,承办机构,extraction
10,43,实施依据,extraction
1,39,包括,extraction
3,4,是,extraction
5,59,是,extraction
7,59,是,extraction
8,85,是,extraction
10,15,服务事项,extraction
12,10,权力类型,extraction
63,10,行驶主体,extraction
63,10,承办机构,extraction
14,10,实施依据,extraction
1,10,包括,extraction
10,100,包含,extraction
3,12,是,extraction
5,13,是,extraction
7,13,是,extraction
8,35,是,extraction
1,10,是,extraction
10,92,涉及,extraction
3,12,是,extraction
5,22,是,extraction
7,22,是,extraction
8,33,是,extraction
10,37,服务事项,extraction
10,12,权力类型,extraction
10,19,行驶主体,extraction
10,19,承办机构,extraction
10,132,实施依据,extraction
10,69,服务事项,extraction
12,10,权力类型,extraction
53,10,行驶主体,extraction
53,10,承办机构,extraction
53,49,实施依据,extraction
1,89,包括,extraction
3,4,是,extraction
5,124,是,extraction
7,124,是,extraction
8,41,是,extraction
10,24,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
14,10,实施依据,extraction
10,21,服务事项,extraction
3,12,是,extraction
5,53,是,extraction
7,53,是,extraction
8,33,是,extraction
1,133,包括,extraction
3,4,是,extraction
5,29,是,extraction
7,29,是,extraction
8,109,是,extraction
1,39,包括,extraction
3,4,是,extraction
5,29,是,extraction
7,29,是,extraction
8,85,是,extraction
10,11,服务事项,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,23,是,extraction
1,10,包括,extraction
10,24,涉及,extraction
3,12,是,extraction
5,22,是,extraction
7,22,是,extraction
8,20,是,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
63,10,行驶主体,extraction
63,10,承办机构,extraction
10,17,实施依据,extraction
10,31,包含,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,35,是,extraction
10,31,服务事项,extraction
12,10,权力类型,extraction
45,10,行驶主体,extraction
45,10,承办机构,extraction
10,17,实施依据,extraction
10,37,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
49,10,实施依据,extraction
10,21,服务事项,extraction
12,10,权力类型,extraction
32,10,行驶主体,extraction
32,10,承办机构,extraction
114,10,实施依据,extraction
10,15,包含,extraction
3,12,是,extraction
5,50,是,extraction
7,50,是,extraction
8,43,是,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
32,10,行驶主体,extraction
32,10,承办机构,extraction
114,10,实施依据,extraction
1,99,包括,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,17,是,extraction
1,10,包括,extraction
10,24,包含,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,17,是,extraction
10,100,包含,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,33,是,extraction
10,77,服务事项,extraction
12,10,权力类型,extraction
19,10,行驶主体,extraction
19,10,承办机构,extraction
114,10,实施依据,extraction
1,10,是,extraction
10,44,涉及,extraction
3,12,是,extraction
5,19,是,extraction
7,19,是,extraction
8,62,是,extraction
10,11,包含,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,55,是,extraction
1,10,是,extraction
10,77,包含问题,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,20,是,extraction
1,94,包括,extraction
3,4,是,extraction
5,6,是,extraction
7,6,是,extraction
8,79,是,extraction
10,100,包含,extraction
3,12,是,extraction
5,65,是,extraction
7,65,是,extraction
8,62,是,extraction
10,113,涉及内容,extraction
12,10,类型,extraction
32,10,行驶主体,extraction
32,10,承办机构,extraction
32,17,实施依据,extraction
1,10,包括,extraction
10,31,涉及,extraction
3,12,是,extraction
5,16,是,extraction
7,16,是,extraction
8,62,是,extraction
10,70,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
134,10,实施依据,extraction
10,26,服务事项,extraction
12,10,权力类型,extraction
32,10,行驶主体,extraction
32,10,承办机构,extraction
135,10,实施依据,extraction
10,37,服务事项,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,43,是,extraction
1,71,包括,extraction
3,4,是,extraction
5,125,是,extraction
7,125,是,extraction
8,60,是,extraction
1,10,包括,extraction
10,77,涉及,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,17,是,extraction
10,77,服务事项,extraction
12,10,权力类型,extraction
16,10,行驶主体,extraction
16,10,承办机构,extraction
35,10,实施依据,extraction
10,37,服务事项,extraction
10,12,权力类型,extraction
10,34,行驶主体,extraction
10,34,承办机构,extraction
10,66,实施依据,extraction
1,10,包括,extraction
10,92,涉及,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,17,是,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
55,10,实施依据,extraction
1,87,包括,extraction
3,4,是,extraction
5,51,是,extraction
7,51,是,extraction
8,109,是,extraction
1,47,包括,extraction
3,4,是,extraction
5,130,是,extraction
7,130,是,extraction
8,79,是,extraction
10,36,服务事项,extraction
3,12,是,extraction
5,65,是,extraction
7,65,是,extraction
8,66,是,extraction
1,10,包括,extraction
10,44,涉及,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,17,是,extraction
10,11,包含事项,extraction
3,12,是,extraction
5,19,是,extraction
7,19,是,extraction
8,66,是,extraction
10,64,服务事项,extraction
12,10,权力类型,extraction
63,10,行驶主体,extraction
63,10,承办机构,extraction
10,62,实施依据,extraction
10,52,包含,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,20,是,extraction
1,57,包括,extraction
10,136,涉及问题,extraction
3,4,是,extraction
5,112,是,extraction
7,112,是,extraction
8,41,是,extraction
10,96,包含,extraction
3,12,是,extraction
5,16,是,extraction
7,16,是,extraction
8,66,是,extraction
1,10,包含,extraction
10,52,包含,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,49,是,extraction
1,10,包括,extraction
10,31,涉及,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,67,是,extraction
10,24,服务事项,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
10,21,服务事项,extraction
12,10,权力类型,extraction
42,10,行驶主体,extraction
42,10,承办机构,extraction
10,14,实施依据,extraction
10,98,服务事项,extraction
12,10,权力类型,extraction
78,10,行驶主体,extraction
78,10,承办机构,extraction
10,134,实施依据,extraction
10,64,服务事项,extraction
12,10,权力类型,extraction
16,10,行驶主体,extraction
16,10,承办机构,extraction
10,33,实施依据,extraction
1,10,包含,extraction
10,98,涉及,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,55,是,extraction
10,37,服务事项,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,33,是,extraction
10,11,包含,extraction
3,12,是,extraction
5,53,是,extraction
7,53,是,extraction
8,62,是,extraction
10,11,包含,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,23,是,extraction
10,36,服务事项,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,35,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,45,是,extraction
7,45,是,extraction
8,33,是,extraction
1,47,包括,extraction
3,4,是,extraction
5,97,是,extraction
7,97,是,extraction
8,109,是,extraction
10,70,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
134,10,实施依据,extraction
1,26,包括,extraction
3,12,是,extraction
5,45,是,extraction
7,45,是,extraction
8,33,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,22,是,extraction
7,22,是,extraction
8,55,是,extraction
1,87,包括,extraction
3,4,是,extraction
5,112,是,extraction
7,112,是,extraction
8,79,是,extraction
10,37,服务事项,extraction
12,10,权力类型,extraction
63,10,行驶主体,extraction
63,10,承办机构,extraction
10,66,实施依据,extraction
10,37,服务事项,extraction
12,10,权力类型,extraction
53,10,行驶主体,extraction
53,10,承办机构,extraction
20,10,实施依据,extraction
10,110,服务事项,extraction
12,10,权力类型,extraction
34,10,行驶主体,extraction
34,10,承办机构,extraction
10,55,实施依据,extraction
10,26,服务事项,extraction
12,10,权力类型,extraction
27,10,行驶主体,extraction
27,10,承办机构,extraction
114,10,实施依据,extraction
10,26,服务事项,extraction
12,10,权力类型,extraction
78,10,行驶主体,extraction
78,10,承办机构,extraction
10,17,实施依据,extraction
10,70,服务事项,extraction
12,10,权力类型,extraction
53,10,行驶主体,extraction
53,10,承办机构,extraction
10,33,实施依据,extraction
10,96,包含事项,extraction
3,12,是,extraction
5,16,是,extraction
7,16,是,extraction
8,43,是,extraction
1,10,包括,extraction
10,44,涉及,extraction
3,12,是,extraction
5,19,是,extraction
7,19,是,extraction
8,35,是,extraction
10,11,包含,extraction
3,12,是,extraction
5,53,是,extraction
7,53,是,extraction
8,17,是,extraction
10,61,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
134,10,实施依据,extraction
10,18,包含,extraction
3,12,是,extraction
5,27,是,extraction
7,27,是,extraction
8,17,是,extraction
10,56,涉及事项,extraction
3,12,是,extraction
5,65,是,extraction
7,65,是,extraction
8,17,是,extraction
1,10,是,extraction
10,110,涉及问题,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,14,是,extraction
10,98,服务事项,extraction
12,10,权力类型,extraction
19,10,行驶主体,extraction
19,10,承办机构,extraction
10,114,实施依据,extraction
10,11,包含事项,extraction
3,12,是,extraction
5,13,是,extraction
7,13,是,extraction
8,49,是,extraction
10,46,包含,extraction
3,12,是,extraction
5,63,是,extraction
7,63,是,extraction
8,67,是,extraction
10,21,服务事项,extraction
12,10,权力类型,extraction
32,10,行驶主体,extraction
32,10,承办机构,extraction
49,10,实施依据,extraction
10,73,包含,extraction
3,74,是,extraction
5,75,是,extraction
7,75,是,extraction
8,115,是,extraction
10,24,服务事项,extraction
12,10,权力类型,extraction
19,10,行驶主体,extraction
19,10,承办机构,extraction
38,10,实施依据,extraction
10,99,服务事项,extraction
12,10,权力类型,extraction
45,10,行驶主体,extraction
45,10,承办机构,extraction
10,23,实施依据,extraction
10,11,包含事项,extraction
3,12,是,extraction
5,65,是,extraction
7,65,是,extraction
8,14,是,extraction
10,18,包含,extraction
3,12,是,extraction
5,13,是,extraction
7,13,是,extraction
8,17,是,extraction
10,64,服务事项,extraction
12,10,权力类型,extraction
34,10,行驶主体,extraction
34,10,承办机构,extraction
10,49,实施依据,extraction
10,21,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
17,10,实施依据,extraction
1,10,是,extraction
10,113,包含问题,extraction
3,12,是,extraction
5,50,是,extraction
7,50,是,extraction
8,62,是,extraction
10,69,服务事项,extraction
12,10,权力类型,extraction
22,10,行驶主体,extraction
22,10,承办机构,extraction
10,23,实施依据,extraction
10,21,服务事项,extraction
3,12,是,extraction
5,19,是,extraction
7,19,是,extraction
8,55,是,extraction
1,10,包括,extraction
10,70,涉及,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,14,是,extraction
10,18,包含内容,extraction
3,12,是,extraction
5,34,是,extraction
7,34,是,extraction
8,23,是,extraction
1,10,包括,extraction
10,24,包含,extraction
3,12,是,extraction
5,16,是,extraction
7,16,是,extraction
8,62,是,extraction
1,10,包括,extraction
10,100,包含,extraction
3,12,是,extraction
5,45,是,extraction
7,45,是,extraction
8,66,是,extraction
1,57,包括,extraction
10,137,包含,extraction
3,4,是,extraction
5,29,是,extraction
7,29,是,extraction
8,91,是,extraction
10,73,包含,extraction
3,74,是,extraction
5,75,是,extraction
7,75,是,extraction
8,115,是,extraction
45,117,是,extraction
45,104,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,33,是,extraction
1,26,包括,extraction
3,12,是,extraction
5,19,是,extraction
7,19,是,extraction
8,20,是,extraction
10,31,涉及内容,extraction
3,12,类型,extraction
5,65,执行主体,extraction
7,65,执行主体,extraction
8,135,依据,extraction
1,10,包括,extraction
10,99,涉及问题,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,49,是,extraction
10,52,包含,extraction
3,12,是,extraction
5,25,是,extraction
7,25,是,extraction
8,62,是,extraction
1,94,包括,extraction
3,4,是,extraction
5,90,是,extraction
7,90,是,extraction
8,102,是,extraction
1,133,包括,extraction
3,4,是,extraction
5,86,是,extraction
7,86,是,extraction
8,109,是,extraction
1,10,包括,extraction
10,44,涉及,extraction
3,12,是,extraction
5,32,是,extraction
7,32,是,extraction
8,49,是,extraction
1,10,包括,extraction
10,110,涉及问题,extraction
3,12,是,extraction
5,78,是,extraction
7,78,是,extraction
8,67,是,extraction
1,133,包括,extraction
3,4,是,extraction
5,125,是,extraction
7,125,是,extraction
8,109,是,extraction
1,39,包括,extraction
3,4,是,extraction
5,130,是,extraction
7,130,是,extraction
8,83,是,extraction
10,77,服务事项,extraction
12,10,权力类型,extraction
42,10,行驶主体,extraction
42,10,承办机构,extraction
128,10,实施依据,extraction
10,18,包含,extraction
3,12,是,extraction
5,45,是,extraction
7,45,是,extraction
8,20,是,extraction
10,11,包含,extraction
3,12,是,extraction
5,45,是,extraction
7,45,是,extraction
8,67,是,extraction
10,36,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
10,62,实施依据,extraction
10,64,服务事项,extraction
12,10,权力类型,extraction
16,10,行驶主体,extraction
16,10,承办机构,extraction
132,10,实施依据,extraction
10,99,服务事项,extraction
12,10,权力类型,extraction
13,10,行驶主体,extraction
13,10,承办机构,extraction
10,62,实施依据,extraction
1,71,包括,extraction
3,4,是,extraction
5,107,是,extraction
7,107,是,extraction
8,83,是,extraction
